76 -22.959868 -43.172619 0 0.016407951002208657 0.4181918240124943 0.3899298361591941 1.7385551351265993  735 0.810 202 0.959 740 0.935 138 0.835 273 0.866
77 -22.847961 -43.446338 0 0.0 0.7326840491401971 0.0 0.4657219407488686  1163 0.964 267 0.890 1374 0.947 1514 0.883
78 -22.965727 -43.670668 0 0.006263363774400188 0.7942581977613744 0.0 0.13864531536977526  537 0.958 528 0.936 1399 0.915 1120 0.958 82 0.936 376 0.915
79 -22.902391 -43.426346 0 0.0 0.787061788426119 0.027823649332663593 0.5239618726345407  2 0.916 189 0.936 1426 0.959 1107 0.959 1304 0.936 140 0.916
80 -22.812662 -43.353498 0 0.285544156812452 0.01424066346363814 0.4637739461631888 0.8890730449874081  424 0.959 205 0.820 1040 0.959 749 0.892 95 0.937 1349 0.917
81 -22.981283 -43.372932 0 0.16554246458755567 0.630911875550809 0.003315772446626163 0.21345101557815274  1465 0.958 1419 0.935 1341 0.935 1348 0.958 1099 0.915
82 -22.972089 -43.664679 0 0.014578580638185132 0.4246373240849711 0.2648159097040054 0.05975335330208427  483 0.936 78 0.936 496 0.958 537 0.915 211 0.906 376 0.958
83 -22.888562 -43.481327 0 0.05074440604440699 0.08969332910244694 0.6843879298942025 0.46717549945691045  252 0.959 1444 0.936 1547 0.959 1152 0.916 179 0.936 1424 0.916
84 -22.840980 -43.400276 0 0.1518511806943051 0.08391775590028235 0.5887913785128661 0.9063047883947909  1112 0.959 113 0.959 739 0.917 576 0.937 763 0.937 677 0.917
85 -23.020021 -43.493746 0 0.01939102386233267 0.25871662125262673 0.3621860876159733 0.1387835828467154  834 0.915 433 0.935 97 0.915 1422 0.935 427 0.958 1173 0.958
86 -22.824491 -43.184454 0 0.057340470432447825 0.6985032545732616 0.009988731845735089 0.3574487277975524  275 0.902 151 0.972 648 0.897
87 -22.822633 -43.167682 0 0.15331435211619165 0.014080004401624461 0.10032071340272222 0.09413728555245436  1509 0.727 1056 1.159 275 0.835
88 -23.044635 -43.617291 0 0.0 0.8233808597823578 0.0 0.05963260057572961  445 0.958 128 0.958 810 0.935 1252 0.914
89 -22.949829 -43.203118 0 0.0 0.799685864482765 0.024901015415398575 0.7660912897940606  1382 0.916 631 0.935 1127 0.959 31 0.959 20 0.935 995 0.916
90 -22.890538 -43.343082 0 0.04379470069506934 0.29553760372230764 0.4802061865559851 0.7683142575174116  1521 0.916 266 0.959 296 0.916 437 0.959 883 0.936 1186 0.936
91 -22.868826 -43.342559 0 0.24018306838680525 0.001372801562703669 0.5680998086686779 1.0931609060920353  859 0.917 251 0.936 59 0.959 1383 0.917 1488 0.936 358 0.959
92 -22.829104 -43.317018 0 0.10810543132803037 0.0 0.7172321362666724 1.1533151910060482  237 0.937 277 0.937 1109 0.959 1449 0.959 1551 0.917 411 0.917
93 -22.988572 -43.628207 0 0.022148049926783014 0.1432080929944939 0.4662697317654476 0.08652507673851023  1420 0.936 57 0.936 1423 0.915 881 0.958 778 0.958 1405 0.915
94 -22.813155 -43.205957 0 0.08271741508933836 0.025295941259254294 0.7061062822866563 0.7361207594805335  1572 0.981 1114 0.936 224 0.911 1328 0.954
95 -22.819024 -43.347506 0 0.10848657506676442 0.07313605316732809 0.5277469846951205 0.8062005433500484  568 0.959 254 0.937 1040 0.917 80 0.937 1159 0.917 1349 0.959
96 -22.920558 -43.503617 0 0.0 0.7954870369381588 0.02525234144680007 0.20883419055889818  847 0.936 1078 0.916 1585 0.916 1281 0.958 455 0.936 499 0.958
97 -23.012359 -43.490486 0 0.0 0.4944110923899414 0.29164609406585507 0.1683011179128157  39 0.958 433 0.958 1080 0.935 427 0.935 968 0.915 85 0.915
98 -22.942060 -43.451894 0 0.0 0.8244144807696911 0.0 0.15645019640428434  157 0.936 1046 0.916 1371 0.936 634 0.916 988 0.958 560 0.958
99 -22.924433 -43.227101 0 0.016795558645780133 0.02616607709980984 0.7818146147653032 1.2331383911324056  188 0.916 132 0.959 1298 0.936 761 0.936 137 0.959 985 0.916
100 -22.984128 -43.443695 0 0.0 0.8134023266870303 0.010672038275011817 0.14146584477987142  44 0.935 1556 0.936 1267 0.915 955 0.958 938 0.958 777 0.915
101 -22.866847 -43.680621 0 0.0 0.6525898263110949 0.0026402956993316217 0.10754460497970171  649 0.845 657 0.892 1462 0.954 1332 0.961
102 -22.945791 -43.427398 0 0.0 0.8244089066065968 0.0 0.1571778115536257  693 0.936 909 0.916 564 0.958 1285 0.958 1429 0.916 1323 0.936
103 -22.981046 -43.320673 0 0.0 0.7554091577082903 0.0648864484091356 0.22031171387298137  1291 0.935 1508 0.935 1432 0.958 1002 0.916 272 0.958 549 0.915
104 -22.989555 -43.532959 0 0.0 0.6931269995520072 0.13080698070642427 0.0596726598168731  1166 0.936 1000 0.958 1246 0.915 1343 0.936 19 0.915 664 0.958
105 -22.914640 -43.309854 0 0.0 0.8247820247314219 0.0 0.2455550287523093  12 0.916 908 0.959 1202 0.936 368 0.916 828 0.959 690 0.936
106 -22.907208 -43.358850 0 0.055613681459115195 0.45547201045193075 0.28887912706635743 0.7477076076983393  1479 0.936 311 0.916 1300 0.959 1028 0.916 149 0.959 539 0.936
107 -22.861955 -43.244048 0 0.1431038160897331 0.0 0.68217336997435 2.1310199126166043  385 0.936 720 0.959 588 0.975 748 0.883 1180 0.936 351 0.917
